Station,Avg Daily Entries,AM Peak,Midday,PM Peak,Evening,Late Night
Wiehle-Reston East,4427,2738,686,830,172,1
Spring Hill,685,242,131,238,72,1
Greensboro,715,177,114,350,73,0
Tysons Corner,1893,325,312,870,384,3
McLean,1054,417,167,414,55,1
East Falls Church,3982,2523,673,585,196,5
Ballston-MU,10660,4332,1936,3430,944,22
Virginia Sq-GMU,3792,1838,669,980,299,4
Clarendon,4453,1863,781,1051,689,70
Court House,7004,3218,1263,1944,564,16
Rosslyn,14470,4094,2930,6062,1382,24
Foggy Bottom,20120,2369,3788,9931,3962,72
Farragut West,20770,1377,3259,12850,3224,65
McPherson Sq,14800,1560,2403,8837,1953,42
Metro Center,25950,1574,4375,14780,5135,89
Federal Triangle,8295,173,1437,5811,866,7
Smithsonian,10260,286,2085,6857,1026,8
L'Enfant Plaza,20190,2719,3342,12650,1467,15
Federal Center SW,5635,398,1038,3791,404,3
Capitol South,7543,852,1605,4151,923,12
Eastern Market,5681,2079,1305,1480,790,26
Potomac Ave,3551,1904,827,567,246,6
Stadium-Armory,2624,1113,638,616,249,8
Benning Rd,2818,1456,728,439,191,5
Capitol Heights,1930,1158,426,235,107,3
Addison Road,3050,1901,663,315,167,4
Morgan Boulevard,1914,1281,310,189,125,9
Largo Town Center,4541,3105,709,470,248,8